term,billing_code,definition
abdominalgia,R10.9,Pain in the abdominal region without further specification
abscess,L02.9,Localized collection of pus in body tissue caused by bacterial infection
acne,L70.0,Chronic inflammatory disorder of the skin's hair follicles and sebaceous glands
adenocarcinoma,C80.1,Malignant tumor arising from glandular epithelial tissue
adenoma,D36.9,Benign tumor of glandular origin
alopecia,L65.9,Partial or complete loss of hair from areas where it normally grows
alzheimer,G30.9,Progressive neurodegenerative disease causing memory loss and cognitive decline
anemia,D64.9,Condition where there are insufficient healthy red blood cells to carry oxygen
aneurysm,I72.9,Localized bulge or weakness in the wall of a blood vessel
angina,I20.9,Chest pain caused by reduced blood flow to the heart muscle
appendicitis,K37,Inflammation of the appendix
arrhythmia,I49.9,Irregular heartbeat due to disruption of normal electrical conduction in the heart
arthritis,M13.9,Inflammation of one or more joints causing pain and stiffness
asthma,J45.9,Chronic condition causing airway inflammation and narrowing
atherosclerosis,I70.9,Hardening and narrowing of arteries due to plaque buildup
atrophy,M62.50,Wasting or decrease in size of a body organ or tissue
bronchitis,J40,Inflammation of the bronchial tubes carrying air to the lungs
bursitis,M71.9,Inflammation of bursae – small fluid-filled sacs cushioning bones and tendons
carcinoma,C80.1,Malignant cancer arising from epithelial cells
cardiac,I51.9,Relating to or affecting the heart
cardiomyopathy,I42.9,Disease of the heart muscle affecting its size
cataract,H26.9,Clouding of the lens in the eye leading to decreased vision
cellulitis,L03.90,Bacterial skin infection causing redness
cholecystitis,K81.9,Inflammation of the gallbladder often due to gallstones
cholesterol,E78.5,Elevated levels of cholesterol lipids in the bloodstream
colitis,K52.9,Inflammation of the inner lining of the colon
conjunctivitis,H10.9,Inflammation of the conjunctiva causing redness and discharge
coronary,I25.10,Relating to the arteries that supply blood to the heart
cystitis,N30.9,Inflammation of the urinary bladder usually due to bacterial infection
dementia,F03.90,Chronic decline in memory and cognitive function interfering with daily life
dermatitis,L30.9,Inflammation of the skin causing itching
diabetes,E11.9,Chronic metabolic disorder characterized by high blood sugar levels
diarrhea,R19.7,Loose or watery stools occurring more frequently than usual
dyspnea,R06.09,Difficulty or labored breathing; shortness of breath
eczema,L30.9,Chronic skin condition causing itchy inflamed patches of skin
edema,R60.9,Abnormal accumulation of fluid in body tissues causing swelling
embolism,I74.9,Obstruction of a blood vessel by a clot or other material
emphysema,J43.9,Chronic lung disease involving damage to the alveoli reducing lung function
encephalitis,G04.90,Inflammation of the brain usually caused by viral infection
endocarditis,I38,Inflammation of the inner lining of the heart chambers and valves
epilepsy,G40.909,Neurological disorder causing recurrent unprovoked seizures
